x,y,pen
989,121,1
987,122,2
981,123,2
993,123,2
979,124,2
973,125,2
997,125,2
971,126,2
965,127,2
1001,127,2
964,128,2
958,129,2
1006,129,2
956,130,2
950,131,2
1010,131,2
948,132,2
942,133,2
1014,133,2
940,134,2
935,135,2
929,136,2
1019,136,2
927,137,2
921,138,2
1023,138,2
919,139,2
1088,139,2
1092,139,2
1027,140,2
1081,140,2
1085,140,2
909,141,2
1029,141,2
1072,141,2
1076,141,2
907,142,2
1060,142,2
1064,142,2
1069,142,2
1034,143,2
1054,143,2
1058,143,2
1035,144,2
1044,144,2
1048,144,2
904,145,2
1040,145,2
903,147,2
901,149,2
899,151,2
898,153,2
896,155,2
894,157,2
893,159,2
891,161,2
1115,162,2
1118,163,2
888,165,2
1124,166,2
1127,167,2
1130,168,2
884,170,2
883,171,2
1138,172,2
1141,173,2
1144,174,2
1147,176,2
1150,177,2
1153,178,2
1156,179,2
874,181,2
874,182,2
1164,183,2
1167,184,2
1170,185,2
869,187,2
1176,188,2
1179,189,2
1182,190,2
865,192,2
1187,193,2
1190,194,2
1193,195,2
1196,196,2
860,198,2
1202,199,2
1203,201,2
1205,203,2
1206,205,2
1207,207,2
1208,209,2
1210,211,2
1211,213,2
1000,214,2
846,215,2
1004,215,2
1008,215,2
992,216,2
1011,216,2
1015,216,2
989,217,2
1018,217,2
1022,217,2
986,218,2
1026,218,2
1030,218,2
984,219,2
1033,219,2
1037,219,2
981,220,2
1040,220,2
1044,220,2
978,221,2
1047,221,2
1216,221,2
976,222,2
1055,222,2
1217,222,2
973,223,2
1062,223,2
1217,223,2
970,224,2
1069,224,2
837,225,2
1073,225,2
1077,225,2
837,226,2
1080,226,2
1084,226,2
836,227,2
1087,227,2
1220,227,2
958,228,2
953,229,2
1221,229,2
952,230,2
832,231,2
1096,231,2
945,232,2
1223,232,2
943,233,2
939,234,2
829,235,2
1225,235,2
1226,236,2
1106,237,2
1107,238,2
1108,239,2
936,240,2
935,241,2
823,242,2
822,243,2
822,244,2
821,245,2
1232,245,2
1232,246,2
1121,247,2
1122,248,2
1123,249,2
930,250,2
816,251,2
929,252,2
814,253,2
813,254,2
1237,254,2
1238,255,2
1135,256,2
1136,257,2
1137,258,2
1137,259,2
1138,260,2
1242,261,2
1242,262,2
1243,263,2
1244,264,2
1244,265,2
1245,266,2
1246,267,2
1246,268,2
1247,269,2
799,271,2
798,272,2
797,273,2
796,274,2
796,275,2
795,276,2
794,277,2
793,278,2
792,279,2
791,280,2
914,281,2
913,282,2
913,283,2
912,284,2
912,285,2
911,286,2
910,287,2
910,288,2
909,289,2
1160,290,2
1161,291,2
1161,292,2
1162,293,2
1163,294,2
1164,295,2
1164,296,2
1165,297,2
1166,298,2
1166,299,2
1266,300,2
1266,301,2
1266,302,2
1266,303,2
1267,304,2
1267,305,2
1267,306,2
1267,307,2
1267,308,2
767,310,2
767,311,2
767,312,2
766,313,2
766,314,2
766,315,2
766,316,2
765,317,2
765,318,2
765,319,2
893,320,2
892,321,2
892,322,2
891,323,2
891,324,2
890,325,2
889,326,2
889,327,2
888,328,2
888,329,2
892,329,2
896,329,2
761,330,2
887,330,2
901,330,2
905,330,2
909,330,2
913,330,2
1272,330,2
887,331,2
919,331,2
923,331,2
927,331,2
761,332,2
886,332,2
932,332,2
1273,332,2
877,333,2
938,333,2
1273,333,2
885,334,2
944,334,2
1184,334,2
871,335,2
949,335,2
953,335,2
867,336,2
954,336,2
959,336,2
864,337,2
960,337,2
964,337,2
759,338,2
883,338,2
969,338,2
859,339,2
1187,339,2
969,340,2
857,341,2
1274,341,2
970,342,2
855,343,2
894,343,2
898,343,2
757,344,2
889,344,2
900,344,2
905,344,2
909,344,2
1275,344,2
884,345,2
911,345,2
915,345,2
919,345,2
1189,345,2
875,346,2
923,346,2
927,346,2
1276,346,2
877,347,2
929,347,2
1276,347,2
874,348,2
932,348,2
1276,348,2
870,349,2
971,349,2
848,350,2
871,350,2
971,350,2
847,351,2
865,351,2
941,351,2
755,352,2
861,352,2
1192,352,2
856,353,2
944,353,2
1193,353,2
852,354,2
867,354,2
1193,354,2
849,355,2
949,355,2
1194,355,2
847,356,2
953,356,2
753,357,2
845,357,2
956,357,2
753,358,2
972,358,2
862,359,2
972,359,2
962,360,2
1196,360,2
965,361,2
1279,361,2
967,362,2
1197,362,2
858,363,2
1197,363,2
857,364,2
1279,364,2
743,366,2
1280,366,2
1196,367,2
853,368,2
852,369,2
737,370,2
734,371,2
1281,371,2
1195,372,2
1195,373,2
1282,374,2
1282,375,2
1282,376,2
1282,377,2
1282,378,2
1283,379,2
1283,380,2
1283,381,2
1283,382,2
728,384,2
728,385,2
727,386,2
727,387,2
727,388,2
727,389,2
726,390,2
726,391,2
726,392,2
726,393,2
831,394,2
831,395,2
831,396,2
831,397,2
830,398,2
830,399,2
830,400,2
830,401,2
829,402,2
1194,403,2
1194,404,2
1194,405,2
1195,406,2
1195,407,2
1195,408,2
1195,409,2
1195,410,2
1196,411,2
1196,412,2
1290,413,2
1290,414,2
1290,415,2
1291,416,2
1291,417,2
1291,418,2
1291,419,2
1291,420,2
1292,421,2
718,423,2
717,424,2
717,425,2
717,426,2
716,427,2
716,428,2
716,429,2
716,430,2
715,431,2
715,432,2
822,433,2
821,434,2
821,435,2
821,436,2
821,437,2
820,438,2
820,439,2
820,440,2
820,441,2
1202,442,2
1202,443,2
1202,444,2
1203,445,2
1203,446,2
1203,447,2
818,448,2
818,449,2
817,450,2
710,451,2
817,452,2
709,453,2
709,454,2
709,455,2
1310,455,2
1311,456,2
1309,457,2
1205,458,2
1206,459,2
1206,460,2
815,461,2
814,462,2
706,463,2
706,464,2
705,465,2
704,466,2
703,467,2
703,468,2
702,469,2
812,470,2
812,471,2
812,472,2
812,473,2
811,474,2
811,475,2
811,476,2
811,477,2
810,478,2
1210,479,2
1210,480,2
1210,481,2
1210,482,2
1211,483,2
1211,484,2
1211,485,2
1211,486,2
1211,487,2
1212,488,2
1301,489,2
1301,490,2
1301,491,2
1301,492,2
1301,493,2
1301,494,2
1301,495,2
1301,496,2
1301,497,2
680,499,2
679,500,2
678,501,2
678,502,2
677,503,2
676,504,2
676,505,2
675,506,2
674,507,2
673,508,2
805,509,2
805,510,2
805,511,2
805,512,2
805,513,2
805,514,2
805,515,2
805,516,2
805,517,2
1211,518,2
1211,519,2
1211,520,2
1210,521,2
1210,522,2
1210,523,2
1210,524,2
1210,525,2
1210,526,2
1209,527,2
1301,528,2
1301,529,2
1301,530,2
1301,531,2
1301,532,2
1301,533,2
1301,534,2
1301,535,2
1301,536,2
651,538,2
651,539,2
650,540,2
649,541,2
648,542,2
648,543,2
647,544,2
646,545,2
646,546,2
645,547,2
804,548,2
804,549,2
804,550,2
804,551,2
804,552,2
804,553,2
804,554,2
804,555,2
804,556,2
1205,557,2
1204,558,2
1204,559,2
1204,560,2
1204,561,2
1204,562,2
1204,563,2
1203,564,2
1203,565,2
1203,566,2
1304,567,2
1305,568,2
1305,569,2
1306,570,2
1307,571,2
1307,572,2
1308,573,2
1308,574,2
1309,575,2
636,577,2
636,578,2
635,579,2
635,580,2
635,581,2
635,582,2
635,583,2
635,584,2
635,585,2
635,586,2
808,587,2
808,588,2
808,589,2
809,590,2
809,591,2
810,592,2
810,593,2
810,594,2
811,595,2
1198,596,2
1198,597,2
1198,598,2
1198,599,2
1197,600,2
1197,601,2
1196,602,2
1196,603,2
1196,604,2
1195,605,2
1329,606,2
1330,607,2
1330,608,2
1194,609,2
819,610,2
818,611,2
635,612,2
1333,612,2
1192,613,2
1192,614,2
821,615,2
820,616,2
634,617,2
1334,617,2
1190,618,2
824,619,2
821,620,2
634,621,2
1333,621,2
1333,622,2
1188,623,2
826,624,2
823,625,2
634,626,2
1332,626,2
1186,627,2
827,628,2
825,629,2
825,630,2
634,631,2
1331,631,2
1184,632,2
828,633,2
828,634,2
828,635,2
828,636,2
829,637,2
829,638,2
1181,639,2
1181,640,2
1181,641,2
1180,642,2
1180,643,2
1179,644,2
1179,645,2
833,646,2
833,647,2
834,648,2
834,649,2
634,650,2
634,651,2
634,652,2
1335,652,2
1336,653,2
1336,654,2
1337,655,2
1172,656,2
1171,657,2
1170,658,2
1169,659,2
843,660,2
843,661,2
633,662,2
1340,662,2
1166,663,2
846,664,2
847,665,2
846,666,2
633,667,2
1343,667,2
1161,668,2
851,669,2
849,670,2
633,671,2
1345,671,2
1158,672,2
1157,673,2
855,674,2
854,675,2
633,676,2
1347,676,2
1154,677,2
858,678,2
858,679,2
632,680,2
631,681,2
1350,681,2
1350,682,2
1351,683,2
1351,684,2
1352,685,2
1352,686,2
1353,687,2
1144,688,2
868,689,2
869,690,2
869,691,2
629,692,2
1355,692,2
1140,693,2
873,694,2
872,695,2
628,696,2
1357,696,2
1137,697,2
1136,698,2
878,699,2
627,700,2
1359,700,2
1133,701,2
882,702,2
879,703,2
1360,703,2
1130,704,2
1357,704,2
885,705,2
1351,705,2
887,706,2
1354,706,2
1128,707,2
625,708,2
1358,708,2
884,709,2
1362,709,2
1125,710,2
624,711,2
1367,711,2
893,712,2
623,713,2
1123,713,2
896,714,2
1367,714,2
1106,715,2
890,716,2
1121,716,2
900,717,2
1367,717,2
1101,718,2
622,719,2
1100,719,2
893,720,2
1120,720,2
905,721,2
621,722,2
1095,722,2
896,723,2
1119,723,2
909,724,2
1365,724,2
911,725,2
620,726,2
1089,726,2
913,727,2
1365,727,2
915,728,2
619,729,2
1084,729,2
898,730,2
1118,730,2
918,731,2
1118,731,2
920,732,2
1364,732,2
923,733,2
1364,733,2
925,734,2
1363,734,2
927,735,2
1117,735,2
929,736,2
1117,736,2
932,737,2
1363,737,2
934,738,2
1116,738,2
936,739,2
1116,739,2
938,740,2
1116,740,2
940,741,2
1116,741,2
943,742,2
1116,742,2
945,743,2
1055,743,2
616,744,2
1050,744,2
1361,744,2
950,745,2
1047,745,2
615,746,2
955,746,2
1043,746,2
1361,746,2
960,747,2
1040,747,2
1361,747,2
965,748,2
969,748,2
1039,748,2
970,749,2
974,749,2
1114,749,2
975,750,2
979,750,2
1032,750,2
888,751,2
983,751,2
1009,751,2
1014,751,2
1018,751,2
1022,751,2
1026,751,2
1360,751,2
987,752,2
991,752,2
995,752,2
999,752,2
1003,752,2
1114,752,2
1114,753,2
1113,754,2
1113,755,2
1113,756,2
1113,757,2
1113,758,2
1112,759,2
1112,760,2
1364,761,2
1365,762,2
1366,763,2
1367,764,2
1367,765,2
1368,766,2
1369,767,2
1370,768,2
1371,769,2
1372,770,2
632,772,2
633,773,2
634,774,2
634,775,2
635,776,2
636,777,2
636,778,2
637,779,2
638,780,2
888,781,2
889,782,2
889,783,2
890,784,2
890,785,2
891,786,2
891,787,2
892,788,2
892,789,2
892,790,2
1106,791,2
1106,792,2
1106,793,2
1106,794,2
1105,795,2
1105,796,2
1105,797,2
1105,798,2
1105,799,2
1363,800,2
1362,801,2
1362,802,2
1361,803,2
1361,804,2
1360,805,2
1360,806,2
1359,807,2
1359,808,2
1358,809,2
659,811,2
660,812,2
661,813,2
661,814,2
662,815,2
1355,815,2
884,816,2
668,817,2
1101,817,2
882,818,2
675,819,2
1353,819,2
880,820,2
681,821,2
1104,821,2
686,822,2
687,823,2
1105,823,2
692,824,2
694,825,2
1350,825,2
699,826,2
700,827,2
1108,827,2
705,828,2
706,829,2
1109,829,2
711,830,2
713,831,2
1110,831,2
718,832,2
719,833,2
1112,833,2
723,834,2
1112,834,2
727,835,2
1113,835,2
730,836,2
1340,836,2
862,837,2
735,838,2
1115,838,2
739,839,2
1116,839,2
743,840,2
1331,840,2
858,841,2
857,842,2
748,843,2
1325,843,2
1119,844,2
854,845,2
751,846,2
1319,846,2
1316,847,2
1122,848,2
850,849,2
849,850,2
756,851,2
1309,851,2
1306,852,2
1125,853,2
1126,854,2
843,855,2
761,856,2
841,856,2
835,857,2
1302,857,2
832,858,2
764,859,2
