x,y,pen
1483,1076,1
1507,1076,1
1544,1076,1
1551,1076,2
1554,1076,2
1520,992,1
1518,989,2
1515,986,2
1508,921,1
1506,903,1
1504,882,1
1503,878,2
1487,873,1
1471,871,1
1437,882,1
1423,882,1
1405,883,1
1400,883,2
1384,880,1
1374,871,1
1360,870,1
1349,869,1
1347,869,2
1344,868,2
1330,882,1
1324,872,1
1310,884,1
1268,886,1
1266,887,2
1249,889,1
1291,870,1
1328,842,1
1337,837,1
1344,834,2
1373,779,1
1374,778,2
1364,731,1
1367,716,1
1367,714,2
1353,704,1
1351,684,1
1349,680,2
1344,670,1
1340,661,2
1329,637,1
1333,622,1
1330,607,1
1327,603,2
1319,590,1
1314,582,2
1301,532,1
1300,480,1
1300,475,2
1309,457,1
1310,455,2
1287,398,1
1285,390,2
1271,326,1
1269,314,1
1268,311,2
1263,294,1
1257,285,1
1239,257,1
1217,222,1
1215,220,2
1207,207,1
1197,197,1
1196,196,2
1195,196,2
1188,193,2
1184,191,2
1165,183,1
1157,180,2
1152,178,2
1150,177,2
1137,171,1
1149,275,1
1112,241,1
1111,241,2
1087,227,1
1084,226,2
1060,223,1
1059,223,2
1051,221,2
1040,220,1
1104,152,1
1092,139,1
1075,141,1
1068,142,2
1049,144,1
1048,144,2
1047,144,2
1046,144,2
1014,133,1
987,122,1
976,125,1
952,131,1
912,141,1
898,153,1
861,197,1
855,204,2
1006,215,1
1032,219,1
978,221,1
964,226,1
958,228,2
953,229,2
936,240,1
896,313,1
922,331,1
929,332,2
940,333,1
971,351,1
958,358,1
955,357,2
947,354,2
927,346,1
916,345,1
910,344,2
906,344,2
892,329,1
885,345,1
871,349,1
845,353,1
853,368,1
869,386,1
829,405,1
830,399,2
830,398,2
791,281,1
785,288,2
759,338,1
759,339,2
758,340,2
753,358,1
732,372,1
728,384,1
727,388,2
723,404,1
722,405,2
720,412,2
691,484,1
681,497,1
674,507,1
654,534,1
636,569,1
636,577,2
635,591,1
635,605,1
634,617,1
634,628,1
634,641,1
634,642,2
633,661,1
633,670,2
630,686,1
803,568,1
815,605,1
820,613,2
820,616,2
821,620,2
824,619,2
826,631,1
831,644,1
875,696,1
880,704,2
882,707,2
890,709,2
892,743,1
884,759,1
891,786,1
891,794,2
920,732,1
921,732,2
890,602,1
890,601,2
888,595,2
885,585,1
884,583,2
883,579,2
912,603,1
913,608,2
951,633,1
954,634,2
977,593,1
979,593,2
989,596,1
986,614,1
991,615,2
1027,615,1
1038,615,1
1033,598,1
1041,600,2
1052,614,1
1058,614,2
1057,630,1
1043,637,1
1003,643,1
991,643,1
988,642,2
996,752,1
1006,752,2
1008,751,2
1018,751,2
1022,751,2
1026,751,2
1048,745,1
1076,733,1
1087,727,1
1101,718,1
1074,610,1
1107,615,1
1115,596,1
1117,591,2
1114,582,2
1111,577,2
1104,565,1
1092,552,1
1058,548,1
1050,549,2
1037,551,1
1028,542,1
1011,542,1
1010,543,2
1010,544,2
974,547,1
966,540,1
956,538,1
950,540,2
954,494,1
952,496,2
941,514,1
940,529,1
903,548,1
809,484,1
813,466,1
818,449,1
820,438,1
821,435,2
822,433,2
823,428,2
825,419,2
870,411,1
879,420,1
868,445,1
869,446,2
870,446,2
881,450,1
891,451,1
897,428,1
902,429,2
909,430,2
902,424,2
896,412,1
899,404,2
901,398,2
898,398,2
890,397,2
885,376,1
895,375,1
896,375,2
928,379,1
938,385,1
951,397,1
955,403,2
959,408,2
954,421,1
941,408,1
925,407,1
925,414,2
925,430,1
941,428,1
943,427,2
945,427,2
952,425,2
960,438,1
945,445,1
924,450,1
972,479,1
977,473,2
981,468,2
984,462,2
991,447,1
991,436,1
1057,370,1
1058,369,2
1063,373,2
1065,349,1
1066,349,2
1077,349,1
1085,349,2
1090,349,2
1107,349,1
1119,350,1
1120,351,2
1164,295,1
1170,304,1
1183,330,1
1186,337,2
1188,342,2
1197,363,1
1197,365,2
1175,373,1
1173,370,2
1158,377,1
1163,364,1
1148,356,1
1138,367,1
1142,369,2
1134,398,1
1117,394,1
1096,397,1
1094,415,1
1089,417,2
1093,416,2
1110,415,1
1117,416,2
1119,416,2
1121,427,1
1118,444,1
1112,445,2
1099,443,1
1093,442,2
1082,439,1
1074,437,2
1073,454,1
1089,461,1
1091,461,2
1130,467,1
1137,442,1
1144,427,1
1155,414,1
1151,409,2
1182,392,1
1182,383,2
1184,385,2
1192,386,2
1192,396,2
1196,414,1
1196,415,2
1197,416,2
1204,452,1
1205,456,2
1208,469,1
1209,477,2
1212,489,1
1213,503,1
1212,512,2
1211,520,2
1205,556,1
1202,574,1
1192,614,1
1185,629,1
1177,650,1
1175,652,2
1173,655,2
1154,677,1
1149,683,2
1143,690,2
1120,720,1
1119,727,2
1118,729,2
1115,747,1
1106,789,1
1102,813,1
1101,817,2
1112,834,1
1138,873,1
1140,876,2
1239,890,1
1245,889,2
1213,917,1
1213,922,2
1204,931,1
1196,926,2
1187,921,1
1186,920,2
1183,918,2
851,848,1
848,851,2
841,856,2
835,857,2
814,862,1
805,864,2
794,867,1
778,871,1
767,862,1
751,846,1
734,837,1
730,836,2
701,827,1
687,823,1
685,822,2
678,820,2
670,817,2
663,815,2
660,812,2
659,811,2
654,803,2
653,802,2
646,792,1
643,787,2
633,773,1
620,727,1
618,733,2
615,747,1
618,751,2
619,753,2
603,803,1
594,807,2
570,818,1
567,820,2
557,824,1
530,837,1
484,862,1
461,878,1
449,886,1
409,915,1
400,925,1
398,928,2
378,953,1
373,959,2
371,962,2
366,969,2
351,988,1
338,1005,1
312,1038,1
306,1052,1
326,1079,1
412,1079,1
461,1079,1
477,1079,1
501,1079,1
512,1078,1
518,1078,2
519,1078,2
533,1078,1
537,1078,2
544,1078,2
553,1078,2
556,1078,2
561,1078,2
574,1078,1
580,1078,2
591,1078,1
599,1078,2
618,1078,1
630,1078,1
649,1078,1
660,1078,1
711,1078,1
772,1078,1
774,1078,2
827,1078,1
831,1078,2
856,1078,1
875,1078,1
926,1078,1
954,1077,1
962,1077,2
973,1077,1
978,1077,2
1016,1077,1
1046,1077,1
1075,1077,1
1080,1077,2
1094,1077,1
1108,1077,1
1117,1077,2
1125,1077,2
1127,1077,2
1130,1077,2
1131,1077,2
1135,1077,2
1137,1077,2
1163,1077,1
1176,1077,1
1185,1077,2
1210,1077,1
1218,1077,2
1223,1077,2
1229,1077,2
1287,1077,1
1300,1077,1
1315,1077,1
