theta
[3.480092   6.34936972]
[3.48036581 6.3610701 ]
[3.48395727 6.34974182]
[3.49687447 6.34870341]
[3.48961525 6.35537743]
[3.48088789 6.35178228]
[3.76015636 6.42216164]
[4.14981867 6.57275288]
[4.69648264 6.77528023]
[5.42421512 7.06845719]
[5.80608854 7.17625043]
[6.54746951 7.37932666]
[7.25342332 7.58214408]
[7.79858967 7.74532305]
[8.35526214 7.99920461]
[8.76830927 8.14552647]
[8.92384321 8.24301852]
[9.25116735 8.28966027]
[9.5605053  8.39632737]
[9.88110331 8.54200942]
[10.31879649  8.78810938]
[10.93180177  9.17278308]
[11.64427187  9.55449793]
[11.98165524  9.65973289]
[12.79540723  9.98038028]
[13.53205782 10.24792475]
[14.21223905 10.43716316]
[14.77327218 10.60370475]
[15.32814803 10.69041131]
[15.58132274 10.70432496]
[16.06063775 10.71847682]
[16.55349005 10.69775429]
[16.96092196 10.58735554]
[17.33396183 10.42411141]
[17.71204994 10.23763549]
[17.84510713 10.06838953]
[18.16336521  9.7984303 ]
[18.47869077  9.52337606]
[18.81099396  9.2877901 ]
[19.25406598  9.14361034]
[19.67200547  8.92171209]
[20.08640591  8.77210986]
[20.29431243  8.72372455]
[20.74984244  8.69676877]
[21.15521256  8.67465923]
[21.50177918  8.68936186]
[21.81687657  8.72010949]
[22.16634643  8.82549442]
[22.34116692  8.91643227]
[22.82396422  9.02603636]
[23.5069207   9.39710379]
[24.13688629  9.66818345]
[24.70703397  9.83253707]
[25.19775297  9.97299578]
[25.48670549 10.01806911]
[25.93741286 10.01237204]
[26.32391631  9.92377137]
[26.70102965  9.68995641]
[26.97889913  9.4917893 ]
[27.22038578  9.19635919]
[27.37037     8.88856804]
[27.43337396  8.72622468]
[27.59977614  8.3167195 ]
[27.94575168  7.78269666]
[28.26036419  7.1249196 ]
[28.56173889  6.65468   ]
[28.9271923   6.24618844]
[29.09087822  6.0770485 ]
[29.54247631  5.7806678 ]
[29.83783695  5.75861193]
[29.96515455  6.13759128]
[29.99578266  6.59165383]
[29.94789827  7.0437547 ]
[29.91337626  7.31595254]
[29.82481805  7.75444333]
[29.67605387  8.20809179]
[29.47078546  8.76761083]
[29.12698677  9.55533931]
[28.74953004 10.3880274 ]
[28.53742934 10.73974321]
[28.22352003 11.62092593]
[27.93792805 12.43788664]
[27.85848044 13.16912587]
