x,y
1548,305
1548,304
1547,303
1549,303
1548,302

1357,408
1357,409
1357,410
1357,411
1356,412
1356,413
1356,414
1356,415
1356,416
1357,416
1355,417
1357,417
1355,418
1356,418
1355,419
1355,420
1355,421
1356,421
1354,422
1356,422
1354,423
1356,423
1354,424
1356,424
1354,425
1356,425
1354,426
1356,426
1353,427
1356,427
1353,428
1356,428
1353,429
1356,429
1353,430
1356,430
1353,431
1356,431
1353,432
1356,432
1352,433
1356,433
1352,434
1356,434
1352,435
1356,435
1352,436
1356,436
1352,437
1355,437
1351,438
1355,438
1351,439
1355,439
1351,440
1355,440
1351,441
1355,441
1351,442
1355,442
1351,443
1355,443
1350,444
1355,444
1350,445
1355,445
1350,446
1355,446
1356,447
1357,447
1358,448
1359,448
1360,449
1361,450
1362,450
1363,451
1364,452
1365,452
1366,453
1367,453
1368,454
1369,455
1370,455
1371,456
1372,457
1373,457
1374,458
1375,458
1376,459
1376,460
1376,461
1375,462
1375,463
1375,464
1375,465
1374,466
1374,467
1374,468
1374,469
1373,470
1373,471
1373,472
1373,473
1372,474
1372,475
1372,476
1372,477
1371,478
1371,479
1371,480
1371,481
1370,482
1370,483
1370,484
1370,485
1371,486
1371,487
1372,488
1372,489
1373,490
1373,491
1373,492
1374,493
1374,494
1375,495
1375,496
1376,497
1377,497
1378,496
1379,495
1379,497
1379,494
1380,495
1380,496
1379,498
1380,493
1381,494
1378,499
1381,492
1381,493
1378,500
1382,491
1382,492
1377,501
1383,490
1377,502
1376,503

1122,421
1121,420
1120,419
1119,418
1118,417
1117,416
1116,415
1115,414
1114,413
1113,412
1112,411
1111,411
1110,410
1109,410
1108,409
1107,409
1106,408
1105,408
1104,407
1103,407
1102,406
1101,406
1100,405
1099,405
1098,405
1097,405
1096,404
1095,404
1094,404
1093,404
1092,404
1091,404
1090,403
1089,403
1088,403
1087,403
1086,403
1085,403
1084,403
1083,402
1082,402
1081,402
1080,402
1079,402
1078,402
1077,402
1076,402
1075,402
1074,403
1073,403
1072,403
1071,403
1070,403
1069,403
1068,403
1067,403
1066,403
1065,403
1064,404
1063,404
1062,404
1061,404
1060,404
1059,404
1058,404
1057,405
1056,405
1055,406
1054,406
1053,407
1052,407
1051,408
1050,408
1049,409
1048,409
1047,410
1046,410
1045,411
1044,411
1043,412
1042,412
1041,413
1040,413
1039,414
1038,415
1037,416
1036,417
1035,418
1034,419
1033,420
1032,421
1031,421
1030,422
1029,423
1028,424
1027,425
1026,426
1025,427
1024,428

830,425
831,424
831,423
832,422
833,421
833,420
834,419
835,418
836,417
836,416
837,415
838,414
839,414
840,413
841,412
842,412
843,411
844,410
845,410
846,409
847,408
848,408
849,407
850,407
851,407
852,406
853,406
854,406
855,406
856,406
857,405
858,405
859,405
860,405
861,404
862,404
863,404
864,404
865,404
866,403
867,403
868,403
869,403
870,403
871,403
872,403
873,403
874,404
875,404
876,404
877,404
878,404
879,404
880,404
881,404
882,404
883,404
884,405
885,405
886,405
887,405
888,405
889,405
890,405
891,406
892,406
893,407
894,407
895,408
896,408
897,409
898,409
899,410
900,410
901,411
902,411
903,412
904,412
905,413
906,413
907,414
908,415
909,416
910,417
911,417
912,418
913,419
914,420
915,421
916,422
917,423
918,424
919,424
920,425
921,426
922,427
923,428

1086,426
1086,427
1086,428
1086,429
1086,430
1086,431
1086,432
1085,433
1085,434
1084,435
1085,435
1084,436
1083,437
1084,437
1082,438
1083,438
1081,439
1082,439
1080,440
1081,440
1079,441
1080,441
1078,442
1077,442
1076,442
1076,443
1075,443
1076,444
1077,444
1074,443
1078,444
1073,443
1079,444
1072,443
1080,444
1071,443
1081,444
1070,443
1082,443
1069,443
1083,443
1068,443
1068,444
1084,443
1067,442
1067,444
1085,443
1066,442
1066,444
1086,443
1065,441
1065,442
1065,444
1087,443
1064,440
1064,441
1064,444
1088,443
1063,440
1063,444
1089,443
1062,439
1062,444
1090,443
1061,438
1061,444
1091,442
1060,437
1060,444
1092,442
1060,436
1059,444
1093,442
1059,435
1058,444
1094,442
1059,434
1057,444
1095,441
1058,433
1059,433
1056,444
1096,441
1058,432
1055,444
1097,441
1058,431
1054,444
1098,440
1058,430
1053,444
1099,440
1058,429
1052,444
1100,440
1058,428
1051,444
1101,439
1058,427
1050,443
1102,439
1057,426
1058,426
1049,443
1103,439
1056,426
1059,425
1048,443
1104,439
1055,426
1060,425
1047,443
1105,438
1054,427
1061,425
1046,443
1106,438
1053,427
1062,424
1045,443
1107,437
1052,427
1063,423
1044,443
1108,437
1051,427
1064,423
1043,443
1109,436
1050,428
1065,422
1042,443
1110,435
1049,428
1066,421
1041,443
1111,435
1048,428
1067,420
1040,443
1112,434
1047,428
1068,419
1039,443
1046,429
1069,419
1038,443
1045,429
1070,418
1037,442
1044,429
1071,417
1036,442
1043,430
1072,417
1035,442
1042,430
1073,418
1034,442
1041,431
1074,418
1033,442
1040,431
1075,419
1032,442
1039,432
1076,419
1031,442
1038,433
1077,419
1030,442
1037,433
1078,420
1029,441
1036,434
1079,420
1028,441
1035,434
1080,420
1027,440
1027,441
1034,435
1081,421
1028,439
1033,435
1082,421
1029,439
1032,436
1083,422
1030,438
1031,437
1084,422
1085,422
1086,423
1087,423
1088,423
1089,424
1090,424
1091,425
1092,425
1093,425
1094,426
1095,426
1096,427
1097,427
1098,427
1099,428
1100,428
1101,429
1102,429
1103,429
1104,430
1105,430
1106,431
1107,431
1108,432

863,429
863,430
863,431
863,432
863,433
863,434
863,435
863,436
863,437
864,437
864,438
864,439
865,439
865,440
865,441
866,441
866,442
867,442
867,443
868,443
868,444
869,444
870,445
871,445
872,445
872,446
873,446
